Item Name,Category,Brand Name,Device Age,Device Condition,Material Recovery Rate,Device Type,Year of Manufacture,Market Value of Metals,Cost of Recovery,Profit,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g),Current Metal Value ($),Recycling Score
MacBook Air,Cat2,Toshiba,6,Broken,75.98,Appliance,2022,464.39,35.77,428.62,1.8,23.89,1.2,5.92,0.56,0.72,8.57,1.47,5.45,532.456447,4
Amazon Echo,Cat2,Sony,15,Broken,92.98,Appliance,1992,309.82,34.11,275.71,1.74,24.38,0.24,5.64,0.57,0.91,3.19,1.5,0.3,637.7752300000001,4
iPhone 12,Cat4,Lenovo,3,Good,57.31,Appliance,2016,445.47,32.89,412.58,2.75,23.62,1.01,7.63,1.1,0.32,14.53,0.71,1.87,378.47440600000004,4
LG Sound Bar,Cat1,Lenovo,9,Average,70.94,IT Equipment,2021,178.77,11.99,166.78,0.75,8.43,0.07,4.43,1.74,0.1,4.25,0.44,1.06,187.61906900000002,3
Garmin Forerunner,Cat4,Lenovo,13,Good,59.6,Consumer Electronics,1996,424.0,20.75,403.25,2.68,23.14,1.13,3.7,0.62,0.14,6.72,1.38,6.58,246.617888,4
Pixel 5,Cat3,Panasonic,18,Average,71.15,Consumer Electronics,1999,549.32,26.51,522.81,1.55,36.72,1.23,9.96,1.94,0.99,13.67,3.19,2.59,748.688504,5
ThinkPad X1,Cat2,Lenovo,14,Broken,84.67,Appliance,2021,365.44,16.61,348.83,1.98,9.42,0.19,5.32,1.82,0.16,3.42,1.14,6.7,287.36430400000006,4
MacBook Air,Cat1,Sony,29,Average,83.67,Consumer Electronics,2006,468.68,30.72,437.96,1.08,49.34,2.35,2.12,1.79,0.41,12.78,2.18,3.52,385.9507679999999,3
LG Sound Bar,Cat1,HP,8,Broken,74.3,Consumer Electronics,2010,487.42,16.85,470.57,2.47,3.08,0.45,2.73,1.98,0.27,14.6,1.56,4.61,383.13416600000005,3
Samsung QLED TV,Cat3,Philips,21,Broken,56.89,IT Equipment,2023,292.93,16.96,275.97,0.84,37.7,0.67,3.44,1.64,0.04,2.28,1.58,6.2,153.22826800000004,5
Roku Ultra,Cat4,HP,8,Broken,87.18,Appliance,2000,426.89,28.54,398.35,3.98,49.87,1.8,8.36,0.24,0.43,5.67,3.26,0.09,456.131491,4
PS5,Cat4,Dell,4,Broken,78.57,Appliance,2004,716.94,33.25,683.69,4.15,0.73,2.71,2.43,1.86,0.75,13.23,2.78,5.9,735.721383,4
Fitbit Versa 3,Cat2,LG,2,Average,54.71,Appliance,2007,496.58,47.46,449.12,1.91,12.1,1.89,10.0,0.03,0.75,13.03,4.56,3.28,526.923256,4
iPhone 12,Cat1,LG,14,Broken,56.43,Appliance,2003,414.13,6.55,407.58,2.42,25.64,0.56,3.35,0.13,0.74,6.67,3.98,2.61,550.717588,3
Dell XPS 13,Cat1,LG,13,Good,80.97,Appliance,1999,561.74,35.11,526.63,4.08,28.73,2.12,6.28,0.71,0.63,10.26,3.79,2.02,601.225719,3
Surface Laptop 4,Cat1,Lenovo,23,Broken,55.4,Appliance,2003,424.35,37.21,387.14,4.04,22.37,0.55,4.47,1.59,0.3,5.85,0.64,2.01,456.28367900000006,3
Panasonic Viera,Cat1,HP,19,Broken,81.36,Consumer Electronics,1999,539.85,49.71,490.14,4.83,23.98,0.69,8.34,0.32,0.63,12.29,1.73,1.33,616.2743580000001,3
Nikon D850,Cat3,Panasonic,29,Good,70.08,Appliance,2017,481.18,47.7,433.48,2.03,4.19,0.23,6.38,0.93,0.81,14.36,1.27,3.37,614.4175270000001,5
Apple Watch Series 6,Cat3,Lenovo,21,Broken,59.68,Consumer Electronics,2018,531.45,28.13,503.32,3.63,7.35,2.72,4.89,0.52,0.26,9.11,0.9,6.22,357.56301500000006,5
Xbox Series X,Cat4,Philips,17,Average,69.95,Consumer Electronics,2002,540.54,25.0,515.54,1.3,32.32,2.9,4.12,1.89,0.37,11.97,3.17,6.44,379.77124200000003,4
JBL Charge 4,Cat2,Apple,28,Broken,66.39,IT Equipment,2012,349.41,49.15,300.26,1.05,7.72,2.28,5.34,0.75,0.4,9.96,2.86,1.5,322.650376,4
Samsung QLED TV,Cat3,Panasonic,19,Good,71.86,Consumer Electronics,2002,512.09,5.68,506.41,4.93,8.63,0.95,1.7,1.8,0.03,7.56,0.11,5.11,357.07901100000004,5
Amazon Echo,Cat3,HP,7,Broken,52.56,Appliance,2009,626.51,9.89,616.62,4.89,10.65,1.82,4.82,1.61,0.7,0.84,3.99,6.83,729.496859,5
Denon AV Receiver,Cat2,HP,8,Average,93.57,Appliance,1996,421.88,29.09,392.79,4.66,22.81,2.05,4.95,0.05,0.08,8.15,2.98,0.32,278.94460300000003,4
GoPro Hero 9,Cat4,HP,25,Average,87.21,Consumer Electronics,2002,442.32,13.86,428.46,2.97,16.52,0.32,6.41,1.97,0.1,3.95,3.91,6.57,309.808086,4
ThinkPad X1,Cat3,Sony,20,Average,62.29,Consumer Electronics,1994,497.41,19.94,477.47,4.69,46.98,1.37,4.76,0.58,0.51,8.88,0.19,1.0,554.903314,5
Dell XPS 13,Cat4,Lenovo,15,Good,93.26,IT Equipment,2002,514.71,36.99,477.72,2.86,19.69,2.31,7.27,0.57,0.79,9.15,3.52,2.37,625.554427,4
Sony Bravia TV,Cat3,Philips,1,Broken,89.41,IT Equipment,2015,497.67,49.15,448.52,2.34,35.06,1.97,0.93,1.29,0.74,3.9,4.15,4.59,609.93305,5
Google Home,Cat3,Dell,4,Broken,68.19,IT Equipment,2001,676.65,22.92,653.73,4.49,37.84,2.09,2.8,1.72,0.47,13.24,3.89,4.74,584.1300840000001,5
Galaxy Note 20,Cat4,HP,15,Broken,90.43,IT Equipment,2009,566.61,41.42,525.19,4.14,44.94,2.27,1.46,1.47,0.53,8.97,2.9,2.18,587.70278,4
Samsung Blu-ray Player,Cat1,Dell,10,Broken,54.23,Consumer Electronics,2016,439.47,49.72,389.75,4.44,41.12,0.71,8.82,0.4,0.33,3.87,0.85,3.52,429.63522,3
Yamaha Receiver,Cat3,Philips,9,Broken,72.03,Appliance,1997,460.89,27.42,433.47,2.51,48.54,1.31,9.07,0.66,0.41,10.53,2.72,3.41,395.045192,5
Ring Doorbell,Cat4,LG,10,Broken,65.62,Consumer Electronics,1992,533.78,14.56,519.22,4.52,9.77,2.91,5.54,1.64,0.36,4.04,4.43,2.5,518.3448129999999,4
LG OLED TV,Cat1,Sony,26,Broken,76.84,Consumer Electronics,2021,451.88,41.59,410.29,1.4,5.72,2.01,4.63,1.35,0.21,10.32,3.88,6.08,263.44967799999995,3
Pioneer AV Receiver,Cat2,Apple,11,Broken,52.78,Consumer Electronics,2006,268.44,6.99,261.45,0.69,45.02,1.54,9.17,0.39,0.26,3.8,4.05,2.5,205.15630000000004,4
ThinkPad X1,Cat4,Sony,28,Good,56.66,Consumer Electronics,2014,423.98,21.75,402.23,3.05,13.28,0.17,5.64,1.57,0.56,3.52,1.82,3.93,555.484342,4
Panasonic Viera,Cat2,Samsung,27,Average,82.46,IT Equipment,2001,456.63,43.09,413.54,1.41,49.56,2.76,9.36,1.76,0.66,3.36,3.71,3.77,543.9666259999999,4
iPad Pro,Cat2,LG,24,Good,56.88,IT Equipment,2014,337.42,49.67,287.75,0.07,8.26,0.77,8.3,1.17,0.82,9.75,4.56,0.84,536.7555759999999,4
iPad Pro,Cat2,Lenovo,15,Good,76.85,Consumer Electronics,2019,495.38,23.75,471.63,3.17,27.61,1.9,9.06,0.85,0.88,3.03,4.32,2.57,707.0942969999999,4
Ring Doorbell,Cat2,Apple,2,Good,72.23,IT Equipment,2005,284.04,40.96,243.08,2.68,29.17,0.05,0.42,1.58,0.18,1.78,2.39,1.14,319.77654899999993,4
Sony Alpha A7,Cat1,Lenovo,26,Broken,72.13,Consumer Electronics,2005,558.99,21.81,537.18,3.61,28.58,2.95,1.27,1.66,0.55,7.97,2.0,3.11,583.70978,3
Nintendo Switch,Cat3,Panasonic,8,Broken,63.33,Appliance,2023,289.24,8.18,281.06,0.66,19.66,0.67,2.91,1.08,0.12,12.7,0.31,2.46,159.92142599999997,5
HP Spectre,Cat4,HP,21,Average,65.47,IT Equipment,1996,640.92,28.5,612.42,4.17,18.09,2.66,1.37,1.15,0.41,12.72,1.85,5.93,503.83569499999993,4
Google Home,Cat2,LG,24,Broken,55.92,Appliance,2019,360.79,13.37,347.42,2.83,9.27,1.2,1.88,1.7,0.1,0.08,4.31,4.15,288.6592610000001,4
Pioneer AV Receiver,Cat2,Panasonic,30,Average,82.34,Appliance,1992,338.94,38.25,300.69,1.29,17.24,0.97,7.05,0.44,0.44,2.48,1.92,6.04,340.35914199999996,4
LG Sound Bar,Cat3,Philips,8,Average,59.98,IT Equipment,2013,600.18,23.45,576.73,4.6,9.03,1.62,5.41,0.8,0.77,14.91,2.31,0.85,711.4055410000001,5
Toshiba Fire TV,Cat2,Apple,1,Broken,53.05,IT Equipment,1994,488.65,9.51,479.14,4.38,8.75,0.08,6.55,1.32,0.52,0.1,0.42,7.0,584.695727,4
Roku Ultra,Cat2,Lenovo,14,Average,65.48,Consumer Electronics,2013,564.25,18.04,546.21,2.42,8.56,0.91,0.02,1.07,0.87,8.05,4.69,6.78,676.180164,4
Dell XPS 13,Cat4,Philips,14,Average,53.94,Consumer Electronics,2020,614.1,9.08,605.02,3.47,30.95,1.87,0.39,1.5,0.78,12.19,4.3,3.0,699.525325,4
Bose SoundLink,Cat1,Sony,23,Average,52.51,Appliance,2000,361.12,7.67,353.45,1.47,17.14,1.6,0.67,0.95,0.65,7.56,0.94,1.49,496.818774,3
Sony Alpha A7,Cat4,Philips,3,Average,51.55,IT Equipment,2019,333.71,32.79,300.92,1.79,26.76,1.39,2.92,0.57,0.57,6.15,1.65,0.91,446.18235999999996,4
MacBook Air,Cat2,Sony,18,Good,68.26,Consumer Electronics,1990,535.98,39.32,496.66,4.62,22.11,0.11,7.75,0.28,0.37,14.18,4.34,2.46,454.68274899999994,4
GoPro Hero 9,Cat1,Panasonic,9,Broken,81.25,Consumer Electronics,2011,407.06,29.71,377.35,2.15,37.37,0.88,1.1,0.67,0.18,8.44,1.97,5.57,245.99906699999997,3
Surface Laptop 4,Cat3,Sony,16,Good,71.37,Appliance,2007,564.69,25.09,539.6,4.75,4.87,1.91,1.42,0.78,0.77,1.79,2.89,4.84,718.0868190000001,5
Garmin Forerunner,Cat2,Sony,6,Broken,78.33,IT Equipment,2011,460.01,38.93,421.08,2.64,28.21,2.85,1.66,0.86,0.77,8.63,1.64,0.08,618.881299,4
iPad Pro,Cat3,Lenovo,15,Good,67.93,Appliance,2011,346.47,36.31,310.16,3.56,16.26,0.08,9.78,0.5,0.07,6.16,3.61,2.02,242.28027600000001,5
LG Sound Bar,Cat4,Philips,21,Good,92.1,IT Equipment,1990,529.33,9.6,519.73,2.73,32.78,0.3,2.2,1.45,0.77,9.01,0.05,5.95,654.02912,4
MacBook Pro,Cat4,Dell,22,Average,88.99,IT Equipment,1994,452.92,23.47,429.45,1.45,39.71,1.83,8.16,0.83,0.12,14.8,0.41,5.95,186.44209099999998,4
Denon AV Receiver,Cat1,LG,19,Broken,93.4,Appliance,2011,401.83,46.98,354.85,1.81,44.03,1.1,3.96,0.38,0.87,4.74,0.54,3.37,608.967579,3
Apple TV 4K,Cat2,Philips,5,Good,88.7,IT Equipment,2016,435.14,24.71,410.43,0.26,16.92,1.65,3.64,0.98,0.75,14.42,0.55,4.06,496.64066,4
Galaxy S21,Cat3,Lenovo,28,Good,56.16,IT Equipment,1999,355.52,8.25,347.27,1.29,33.71,0.99,2.39,1.74,0.18,5.97,4.83,3.57,260.941763,5
iPad Pro,Cat4,Apple,27,Average,64.01,Consumer Electronics,2022,553.88,38.95,514.93,4.79,45.37,0.49,3.43,1.32,0.07,14.11,3.07,3.15,347.180037,4
ThinkPad X1,Cat2,Lenovo,29,Good,66.12,Appliance,2013,453.27,29.27,424.0,1.89,20.33,2.33,1.19,1.46,0.64,9.86,0.44,2.41,539.594539,4
MacBook Pro,Cat4,Apple,8,Average,64.75,Appliance,1992,334.72,28.03,306.69,0.91,35.73,0.15,1.62,0.33,0.89,10.54,1.36,0.38,572.754931,4
Xbox Series X,Cat1,Panasonic,18,Average,69.2,Appliance,2023,468.48,10.1,458.38,1.85,26.04,0.33,5.75,1.75,0.7,12.43,2.92,2.42,586.498522,3
Lenovo Yoga,Cat4,Apple,21,Average,88.96,Appliance,1996,506.64,18.49,488.15,2.99,36.75,0.77,7.48,1.88,0.86,1.05,1.54,5.49,741.5644289999999,4
PS5,Cat1,Dell,6,Broken,90.51,Appliance,2013,459.9,15.09,444.81,2.47,26.74,0.86,4.93,1.91,0.58,10.08,2.98,1.58,556.967778,3
MacBook Air,Cat2,Apple,23,Average,88.84,IT Equipment,2002,481.37,26.75,454.62,2.91,14.43,2.94,2.96,0.84,0.92,4.5,4.17,0.65,717.090857,4
Sony Bravia TV,Cat3,Panasonic,29,Average,70.31,Consumer Electronics,2012,308.21,41.91,266.3,1.28,3.76,2.81,1.71,1.09,0.78,1.72,0.18,0.17,569.9053580000001,5
Roku Ultra,Cat1,HP,30,Good,93.01,Appliance,2011,207.87,33.41,174.46,1.7,2.03,0.02,4.96,1.83,0.04,4.67,0.02,0.63,204.654687,3
iPad Pro,Cat3,Apple,28,Broken,54.45,Consumer Electronics,1992,427.24,11.76,415.48,1.54,35.33,2.76,9.67,0.13,0.67,0.56,2.58,6.55,468.931633,5
Lenovo Yoga,Cat1,Toshiba,14,Average,93.08,Appliance,2013,729.84,7.66,722.18,4.6,16.14,1.85,2.22,1.37,0.78,12.95,3.91,6.31,748.374026,3
Samsung Blu-ray Player,Cat2,Panasonic,7,Broken,68.89,Appliance,2018,517.27,22.13,495.14,3.19,8.43,0.33,0.64,0.38,0.7,7.91,3.01,6.28,579.2218909999999,4
Bose SoundLink,Cat1,Samsung,26,Broken,81.06,Consumer Electronics,1992,373.48,23.4,350.08,3.42,0.13,0.78,2.98,0.78,0.08,7.38,0.89,3.3,256.58833899999996,3
Fitbit Versa 3,Cat1,Panasonic,21,Average,56.44,Consumer Electronics,2022,408.69,44.34,364.35,2.09,18.5,2.19,8.07,1.84,0.07,14.72,0.91,0.92,243.015926,3
Roku Ultra,Cat3,Toshiba,2,Good,51.46,Appliance,2005,329.27,23.41,305.86,0.46,1.74,1.14,4.8,1.25,0.81,5.59,3.23,1.76,554.6813080000001,5
Ring Doorbell,Cat4,Panasonic,27,Average,69.74,IT Equipment,1993,267.5,46.25,221.25,2.62,10.16,2.93,3.26,0.19,0.1,0.11,2.09,0.95,198.066704,4
Surface Laptop 4,Cat2,Toshiba,11,Broken,89.27,Consumer Electronics,2003,474.67,26.03,448.64,4.3,27.38,1.94,2.81,1.46,0.19,1.13,1.24,5.17,400.134754,4
Pioneer AV Receiver,Cat3,Lenovo,28,Good,92.76,IT Equipment,1991,295.01,24.61,270.4,1.25,38.0,0.91,6.81,1.25,0.34,4.05,3.55,1.6,324.11916,5
Samsung Galaxy Watch 3,Cat4,Samsung,7,Average,80.55,Consumer Electronics,2016,223.26,28.56,194.7,0.44,39.85,1.41,1.53,1.6,0.06,2.43,1.56,2.6,142.960191,4
JBL Charge 4,Cat4,Philips,10,Broken,92.83,IT Equipment,2008,284.59,45.96,238.63,0.37,49.33,2.01,2.98,0.77,0.14,11.5,1.96,0.79,141.209911,4
iPhone 11,Cat1,Samsung,22,Good,76.84,Consumer Electronics,2018,603.07,6.26,596.81,4.0,24.05,2.72,5.34,0.92,0.68,6.97,0.36,5.99,637.8155610000001,3
Pioneer AV Receiver,Cat2,Lenovo,7,Average,50.92,Appliance,2014,499.75,29.21,470.54,2.84,35.22,2.93,7.56,0.18,0.63,10.04,4.91,1.29,512.319826,4
DJI Mavic Air 2,Cat1,Toshiba,3,Broken,63.95,Consumer Electronics,2019,380.54,17.17,363.37,0.24,38.89,0.6,2.19,1.67,0.39,13.05,0.07,4.7,325.83722700000004,3
MacBook Pro,Cat1,LG,25,Broken,70.77,Consumer Electronics,1994,398.37,20.22,378.15,1.35,24.67,2.76,6.69,1.09,0.83,3.02,2.55,2.02,602.2660649999999,3
GoPro Hero 9,Cat4,Panasonic,15,Average,66.58,Consumer Electronics,2001,214.03,34.8,179.23,0.15,5.71,2.83,0.64,0.51,0.24,0.89,1.7,2.95,174.19174499999997,4
Nintendo Switch,Cat1,Toshiba,11,Average,70.1,IT Equipment,2015,519.56,49.61,469.95,2.67,44.14,0.58,2.36,0.46,0.24,13.67,4.79,6.21,294.71476399999995,3
Samsung Blu-ray Player,Cat2,LG,16,Average,72.6,Appliance,2011,443.26,30.96,412.3,2.1,33.42,1.18,6.97,0.32,0.32,10.07,1.87,5.87,305.222052,4
HP Spectre,Cat1,Toshiba,12,Broken,84.58,IT Equipment,2010,541.84,28.55,513.29,1.83,7.8,2.47,3.43,0.6,0.76,12.94,4.2,4.45,559.69329,3
Fitbit Versa 3,Cat4,Dell,14,Broken,79.92,Appliance,1991,294.91,43.5,251.41,0.19,16.52,1.37,8.98,0.95,0.1,6.74,0.3,6.39,119.10284999999999,4
Surface Laptop 4,Cat3,Panasonic,14,Average,84.17,Appliance,1991,577.42,40.04,537.38,2.54,45.54,2.0,5.43,1.63,0.99,1.9,4.12,6.36,781.420082,5
ThinkPad X1,Cat2,Philips,17,Broken,67.83,Appliance,2018,343.57,23.24,320.33,0.99,14.52,0.83,5.9,1.6,0.55,8.23,4.56,0.78,450.316526,4
Galaxy S21,Cat1,HP,2,Average,56.4,Consumer Electronics,1993,559.19,37.13,522.06,3.21,39.12,0.44,0.63,1.84,0.97,9.75,0.05,3.47,812.9709499999999,3
Xbox Series X,Cat1,LG,22,Good,52.8,Appliance,2013,571.53,46.79,524.74,4.6,12.79,2.08,0.17,1.11,0.39,3.47,4.15,6.17,510.95438499999995,3
Dell XPS 13,Cat3,Samsung,23,Broken,65.38,Consumer Electronics,2007,382.25,48.15,334.1,0.53,12.35,2.62,1.5,0.23,0.07,11.63,4.96,5.52,80.81681100000002,5
Harman Kardon Speaker,Cat3,Toshiba,7,Broken,68.2,Appliance,2010,480.38,10.9,469.48,4.11,44.95,0.78,9.84,0.17,0.64,0.9,4.28,4.33,578.8785230000001,5
Surface Pro 7,Cat2,Sony,28,Good,86.17,IT Equipment,2021,412.21,27.01,385.2,0.18,19.22,2.23,6.33,0.58,0.33,10.92,4.11,6.38,231.20476600000003,4
PS5,Cat4,Apple,26,Broken,68.03,Consumer Electronics,2016,484.21,10.56,473.65,3.49,32.87,0.55,6.45,1.66,0.06,5.9,3.83,6.49,296.021563,4
Pixel 5,Cat2,Sony,15,Average,51.31,Appliance,1996,445.54,11.92,433.62,2.07,21.29,1.67,4.63,1.38,0.56,12.54,4.49,0.1,497.819409,4
Harman Kardon Speaker,Cat4,Apple,3,Average,54.45,Consumer Electronics,1993,404.59,29.05,375.54,4.35,39.1,1.71,3.36,0.26,0.49,1.35,0.69,1.19,509.688114,4
Fitbit Versa 3,Cat1,Lenovo,13,Good,84.34,IT Equipment,1993,495.44,15.17,480.27,0.95,31.12,1.36,3.7,1.98,0.79,9.13,0.18,6.35,607.064648,3
Sony Bravia TV,Cat4,LG,3,Good,73.65,Appliance,2022,309.86,6.34,303.52,0.5,49.68,0.3,0.62,0.67,0.97,4.08,4.5,0.5,616.7655199999999,4
Surface Pro 7,Cat1,Lenovo,23,Good,80.52,IT Equipment,2008,543.59,21.71,521.88,2.03,7.67,2.41,3.23,1.23,0.43,13.7,2.72,5.86,414.276097,3
HP Spectre,Cat2,Lenovo,3,Broken,74.14,Appliance,1994,486.85,48.65,438.2,4.64,31.99,0.18,1.76,0.32,0.43,1.59,1.55,6.58,492.437405,4
Fitbit Versa 3,Cat4,HP,17,Good,68.92,Consumer Electronics,1992,330.96,6.83,324.13,1.48,32.57,1.09,3.74,0.23,0.65,1.1,2.66,3.8,458.651471,4
Fire TV Stick,Cat2,Dell,10,Good,79.03,Consumer Electronics,1996,460.61,9.52,451.09,3.04,16.83,0.07,2.03,1.1,0.83,9.17,0.08,2.41,684.366653,4
Fitbit Versa 3,Cat4,Toshiba,24,Good,90.91,Consumer Electronics,1999,546.14,44.5,501.64,4.82,39.76,2.41,0.65,0.95,0.48,3.77,3.06,3.11,564.696826,4
