Item,Gold (g),Aluminum (g),Silver (g),Carbon (g),Platinum (g),Rhodium (g),Nickel (g),Tin (g),Lithium (g)
LG OLED TV,4.93,1.61,2.25,0.93,0.04,0.02,1.93,0.87,2.81
Fitbit Charge,1.47,1.23,1.93,0.93,0.16,0.04,0.21,0.88,0.71
iPad Pro,3.12,1.16,1.99,0.42,0.1,0.08,1.62,0.46,2.94
HP Spectre x360,3.04,1.96,0.43,0.26,0.06,0.1,1.55,1.46,2.97
Fitbit Charge,2.45,1.13,2.65,0.88,0.06,0.05,0.34,0.96,1.78
Apple Watch,1.21,0.35,0.9,0.41,0.12,0.03,0.16,0.21,2.68
Lenovo ThinkPad X1,3.22,1.5,1.38,0.44,0.16,0.05,0.11,1.36,2.4
Raspberry Pi 4,4.31,1.94,2.69,0.99,0.14,0.01,1.97,0.75,0.25
Lenovo ThinkPad X1,2.65,1.1,1.91,0.6,0.19,0.04,1.44,1.41,2.71
Amazon Kindle,4.86,0.58,0.66,0.9,0.19,0.05,1.5,1.01,1.03
Dell XPS 13,3.53,1.27,0.78,0.89,0.1,0.05,0.55,1.47,0.12
Dell XPS 13,1.52,0.39,1.92,0.25,0.17,0.01,1.26,0.98,1.72
Google Pixel 6,4.41,1.55,1.46,0.65,0.17,0.04,1.44,1.31,0.58
Raspberry Pi 4,1.32,1.37,0.22,0.35,0.06,0.07,1.46,0.89,1.05
Dell XPS 13,3.78,1.74,0.2,0.5,0.02,0.1,1.0,1.35,2.32
MacBook Pro,2.52,1.52,1.64,0.87,0.07,0.03,0.56,1.34,2.35
Dell XPS 13,4.62,1.4,1.83,0.92,0.16,0.06,0.13,0.71,2.35
Raspberry Pi 4,3.01,1.87,1.89,0.43,0.04,0.07,1.81,0.25,1.22
Lenovo ThinkPad X1,0.97,1.25,1.92,0.3,0.03,0.04,1.77,1.25,0.73
Canon EOS R5,2.2,1.32,1.77,0.46,0.12,0.05,1.5,1.38,2.43
iPhone 11,2.36,1.22,2.59,0.44,0.09,0.02,1.48,0.84,1.33
Google Pixel 6,1.62,0.34,0.75,0.39,0.03,0.04,0.38,0.93,1.37
Dell XPS 13,0.95,0.84,1.05,0.36,0.11,0.02,1.7,1.06,0.68
iPad Pro,3.89,1.31,1.17,0.76,0.09,0.07,0.22,0.98,2.51
MacBook Pro,3.67,0.73,2.86,0.86,0.17,0.02,0.62,0.71,1.78
LG OLED TV,2.85,1.79,1.57,1.0,0.03,0.05,0.87,0.55,2.6
HP Spectre x360,4.36,1.62,1.54,0.91,0.13,0.09,1.56,1.33,0.55
Raspberry Pi 4,0.81,0.38,1.66,0.4,0.11,0.07,0.78,1.26,1.6
Samsung Galaxy S20,4.49,0.16,1.03,0.78,0.12,0.03,1.79,1.12,2.36
Fitbit Charge,1.54,0.68,2.64,0.7,0.18,0.07,0.96,1.1,1.04
Lenovo ThinkPad X1,0.99,1.18,2.4,0.66,0.13,0.06,1.85,0.98,1.24
Nikon D3500,1.98,0.53,0.49,0.33,0.12,0.07,1.72,1.44,1.21
Nintendo Switch,0.69,0.9,2.59,0.31,0.06,0.03,1.98,1.14,0.14
OnePlus 9 Pro,4.29,1.63,0.42,0.7,0.16,0.07,1.17,0.81,2.69
Fitbit Charge,3.61,1.44,0.75,0.33,0.05,0.08,1.63,1.45,1.79
Microsoft Surface Pro,4.28,1.66,2.01,0.21,0.07,0.04,0.55,0.42,0.36
Google Pixel 6,0.79,0.89,2.95,0.29,0.05,0.08,0.28,0.14,0.95
Sony PlayStation 5,4.97,1.07,2.75,0.26,0.17,0.08,0.18,1.08,0.78
Microsoft Surface Pro,0.53,1.32,1.9,0.18,0.02,0.07,1.27,0.45,0.67
Sony PlayStation 5,0.81,1.6,1.34,0.85,0.18,0.07,0.52,0.56,2.23
Google Pixel 6,1.17,0.67,1.05,0.67,0.15,0.09,0.18,1.36,1.66
LG OLED TV,3.21,1.56,1.11,0.26,0.06,0.08,1.87,0.43,2.86
Canon EOS R5,3.57,0.71,2.3,0.93,0.04,0.05,0.52,0.13,2.53
iPhone 11,0.52,1.15,1.3,0.69,0.01,0.06,1.44,0.56,0.36
iPad Pro,0.17,0.66,1.38,0.18,0.04,0.05,0.13,0.34,2.7
Nintendo Switch,1.69,1.13,1.99,0.35,0.06,0.03,1.95,0.13,0.73
Microsoft Surface Pro,0.45,1.44,1.61,0.2,0.03,0.04,1.27,0.2,1.11
Xbox Series X,4.3,1.3,1.15,0.87,0.06,0.02,1.21,0.57,2.77
Raspberry Pi 4,1.76,0.51,1.28,0.24,0.12,0.05,0.65,0.27,2.73
Fitbit Charge,3.92,1.9,2.92,0.82,0.17,0.1,1.93,1.35,2.68
Canon EOS R5,4.71,1.58,0.77,0.35,0.05,0.09,0.87,1.07,1.74
Dell XPS 13,0.87,0.36,2.91,0.52,0.17,0.09,0.38,0.95,1.22
MacBook Pro,4.2,0.87,1.35,0.71,0.07,0.04,1.11,1.37,2.58
HP Spectre x360,1.51,0.91,1.65,0.77,0.15,0.03,0.91,0.55,1.59
Samsung Galaxy S20,2.43,1.1,2.58,0.14,0.05,0.07,0.88,1.27,0.4
Fitbit Charge,0.3,1.65,0.68,0.31,0.05,0.07,1.9,0.15,2.86
LG OLED TV,4.77,0.65,1.46,0.37,0.05,0.07,0.69,1.22,0.54
Lenovo ThinkPad X1,0.64,1.52,0.78,0.88,0.03,0.04,0.14,0.58,0.7
OnePlus 9 Pro,4.37,0.21,0.49,0.52,0.15,0.05,1.83,0.51,1.23
Google Pixel 6,0.57,1.3,1.5,0.23,0.2,0.08,1.61,0.15,2.75
Fitbit Charge,1.28,1.84,2.31,0.68,0.14,0.02,0.57,0.27,0.19
Apple Watch,3.35,1.78,1.38,0.38,0.08,0.03,0.35,0.6,1.65
Apple Watch,1.36,0.7,2.22,0.83,0.04,0.08,1.28,1.49,0.64
OnePlus 9 Pro,0.83,0.6,2.6,0.16,0.11,0.03,1.08,1.42,1.44
Xbox Series X,4.29,1.5,0.14,0.54,0.01,0.06,1.22,0.46,2.36
Amazon Kindle,0.99,1.26,1.53,0.9,0.06,0.06,0.53,1.06,0.29
Google Pixel 6,4.47,0.51,0.39,0.78,0.1,0.09,1.72,0.45,2.84
iPad Pro,2.85,0.77,0.43,0.21,0.18,0.07,1.29,1.05,2.74
Amazon Kindle,4.95,0.29,0.69,0.22,0.05,0.06,1.72,1.05,0.72
HP Spectre x360,3.28,1.29,0.51,0.31,0.04,0.07,1.15,1.03,2.56
Canon EOS R5,3.54,1.94,0.86,0.48,0.19,0.07,0.96,1.04,2.31
HP Spectre x360,4.74,0.33,0.3,0.77,0.13,0.08,1.7,0.12,2.5
HP Spectre x360,3.27,0.73,2.07,0.52,0.07,0.1,0.2,0.94,2.82
Nikon D3500,1.75,0.55,2.23,0.24,0.06,0.03,0.21,0.27,2.0
Dell XPS 13,4.97,1.32,2.35,0.29,0.17,0.07,0.69,0.83,2.65
Fitbit Charge,1.46,1.17,0.56,0.95,0.09,0.07,0.45,0.41,1.6
iPad Pro,1.26,1.74,2.82,0.45,0.02,0.05,1.5,0.28,2.97
Amazon Kindle,4.79,0.71,2.63,0.11,0.16,0.09,0.82,0.47,1.93
Canon EOS R5,0.42,0.42,2.77,0.96,0.13,0.1,1.75,0.48,2.82
LG OLED TV,3.52,0.26,0.57,0.14,0.19,0.1,1.74,0.66,0.53
Microsoft Surface Pro,0.18,0.54,1.18,0.81,0.16,0.01,0.63,1.12,1.4
LG OLED TV,3.86,1.09,0.61,0.14,0.08,0.06,0.19,0.22,1.98
Lenovo ThinkPad X1,1.73,1.63,2.42,0.53,0.1,0.05,0.96,0.41,1.88
Microsoft Surface Pro,4.05,0.72,1.96,0.83,0.03,0.03,0.81,0.83,1.11
Sony PlayStation 5,4.36,1.34,1.45,0.85,0.1,0.04,0.21,0.53,1.62
iPhone 11,2.06,0.44,2.0,0.13,0.03,0.02,0.91,0.11,2.32
LG OLED TV,4.21,1.56,0.82,0.41,0.08,0.06,0.51,1.01,2.5
Nikon D3500,3.65,1.75,0.67,0.8,0.18,0.09,1.59,1.4,2.06
Lenovo ThinkPad X1,0.64,1.77,1.97,0.22,0.03,0.02,1.43,0.19,2.06
LG OLED TV,3.07,1.79,0.81,0.94,0.13,0.07,0.36,1.23,2.15
HP Spectre x360,2.37,0.62,0.83,0.62,0.07,0.03,1.57,1.15,2.02
Dell XPS 13,1.41,0.82,2.9,0.81,0.06,0.08,1.23,0.11,1.23
Nikon D3500,3.98,1.01,2.85,0.43,0.06,0.09,1.45,1.02,2.51
Apple Watch,2.42,0.91,0.33,0.49,0.14,0.03,0.77,0.24,0.63
Raspberry Pi 4,3.12,1.46,1.84,0.19,0.19,0.04,1.08,0.32,1.15
Microsoft Surface Pro,3.67,0.4,1.9,0.29,0.09,0.08,0.84,0.82,1.12
Sony PlayStation 5,1.73,1.63,1.7,0.96,0.09,0.07,0.19,0.56,2.84
Microsoft Surface Pro,0.59,0.26,2.06,0.52,0.09,0.09,1.37,1.42,1.66
Samsung Galaxy S20,0.41,1.05,1.01,0.2,0.11,0.06,1.59,0.26,0.94
Raspberry Pi 4,0.42,1.59,1.81,0.94,0.14,0.1,1.4,0.63,1.42
Samsung Galaxy S20,2.41,0.28,1.0,0.15,0.2,0.08,1.99,1.33,0.2
Nikon D3500,4.15,0.63,2.62,0.59,0.07,0.09,0.59,0.66,0.66
Nintendo Switch,3.91,0.51,2.06,0.73,0.14,0.05,1.88,0.4,0.67
Fitbit Charge,2.52,0.23,1.1,0.53,0.16,0.04,0.48,1.18,0.7
Raspberry Pi 4,1.57,0.6,2.9,0.95,0.06,0.09,1.54,0.82,1.7
iPad Pro,3.03,1.91,2.21,0.28,0.16,0.09,1.03,0.85,1.96
Fitbit Charge,0.81,0.25,0.48,0.64,0.08,0.09,1.85,1.34,2.0
Amazon Kindle,2.49,0.87,2.99,0.33,0.1,0.02,0.49,1.38,0.94
Microsoft Surface Pro,3.42,1.85,2.49,0.3,0.04,0.02,0.26,1.0,2.86
Amazon Kindle,2.56,0.83,2.04,0.16,0.16,0.05,0.19,1.28,0.9
Raspberry Pi 4,2.0,0.21,1.32,0.69,0.08,0.07,0.29,1.47,0.14
Amazon Kindle,4.73,0.88,2.23,0.69,0.13,0.08,0.95,0.93,0.86
Fitbit Charge,2.23,1.76,1.22,0.9,0.12,0.02,1.82,0.38,2.81
iPad Pro,2.81,1.82,2.78,0.17,0.15,0.03,1.67,0.71,0.79
Raspberry Pi 4,1.27,1.27,1.03,0.28,0.19,0.05,1.69,0.17,2.16
MacBook Pro,0.82,1.35,1.22,0.21,0.14,0.06,0.64,0.58,0.49
Canon EOS R5,4.25,0.23,2.53,0.41,0.08,0.04,0.86,1.18,2.39
Nikon D3500,0.91,1.98,1.94,0.97,0.03,0.08,0.52,0.5,2.23
Raspberry Pi 4,0.27,1.09,1.83,0.96,0.13,0.07,0.87,1.3,0.5
iPad Pro,1.51,1.18,2.69,0.3,0.18,0.04,1.7,0.22,0.77
Amazon Kindle,2.98,1.01,1.09,0.99,0.09,0.09,1.52,1.07,0.35
Fitbit Charge,2.12,1.89,2.08,0.5,0.11,0.09,1.04,0.21,2.62
Microsoft Surface Pro,1.33,0.28,1.93,0.65,0.14,0.04,1.66,0.28,2.11
Lenovo ThinkPad X1,0.55,1.9,1.45,0.79,0.07,0.09,1.31,0.21,1.87
MacBook Pro,2.63,1.57,2.42,0.63,0.05,0.06,1.89,1.41,1.64
iPad Pro,4.55,1.44,2.11,0.82,0.19,0.09,0.57,0.86,0.78
MacBook Pro,2.98,0.5,1.63,0.12,0.02,0.03,0.19,0.42,1.14
iPad Pro,4.18,0.36,1.7,0.84,0.17,0.08,1.59,0.19,2.81
Dell XPS 13,3.23,0.29,1.44,0.61,0.11,0.02,1.62,1.04,1.34
Microsoft Surface Pro,2.71,1.54,1.69,0.82,0.04,0.1,1.53,0.21,1.85
Amazon Kindle,2.33,0.87,0.38,0.85,0.07,0.07,0.57,1.29,2.83
Fitbit Charge,2.39,1.22,1.18,0.52,0.13,0.07,0.39,0.39,0.37
LG OLED TV,0.85,1.19,1.3,0.91,0.1,0.07,1.62,0.37,0.97
OnePlus 9 Pro,1.82,1.04,2.39,0.66,0.1,0.1,1.81,0.95,2.2
Canon EOS R5,2.47,0.57,1.58,0.43,0.1,0.01,0.88,1.12,0.82
Amazon Kindle,4.43,1.93,1.53,0.67,0.09,0.08,1.55,1.16,0.24
Nikon D3500,0.59,0.85,0.83,0.63,0.1,0.03,0.84,1.09,2.76
Google Pixel 6,0.69,0.95,1.97,0.39,0.18,0.01,0.27,1.18,0.13
Microsoft Surface Pro,0.93,0.58,1.37,0.98,0.19,0.05,1.16,0.53,1.97
Samsung Galaxy S20,1.35,1.11,1.13,0.42,0.14,0.07,1.98,0.21,2.79
HP Spectre x360,1.95,1.28,1.76,0.3,0.19,0.02,1.97,0.75,2.45
Fitbit Charge,3.14,1.96,2.82,0.68,0.05,0.06,0.43,0.56,1.9
OnePlus 9 Pro,1.33,1.89,0.71,0.68,0.15,0.04,1.47,1.17,2.77
Microsoft Surface Pro,2.23,1.31,0.5,0.81,0.16,0.02,0.96,1.48,2.54
Google Pixel 6,1.93,0.43,1.85,0.63,0.14,0.05,0.95,1.3,0.33
Microsoft Surface Pro,3.16,1.66,1.53,0.97,0.09,0.01,0.14,0.81,1.13
LG OLED TV,2.64,1.52,0.15,0.99,0.1,0.07,1.77,1.01,1.75
Nintendo Switch,0.26,0.38,2.28,0.99,0.09,0.04,0.3,1.32,2.05
Amazon Kindle,0.77,1.68,1.51,0.11,0.1,0.01,1.22,0.36,2.03
Samsung Galaxy S20,4.83,0.49,0.55,0.96,0.02,0.05,1.17,0.32,1.07
HP Spectre x360,4.37,0.23,1.84,0.62,0.18,0.09,1.73,0.53,1.81
OnePlus 9 Pro,2.84,0.74,0.52,0.46,0.08,0.02,0.88,0.53,0.22
Nikon D3500,2.73,1.92,2.05,0.22,0.11,0.05,0.34,1.04,1.88
Xbox Series X,3.11,1.56,0.29,0.62,0.01,0.09,1.76,0.12,2.79
Amazon Kindle,0.46,1.3,2.84,0.71,0.15,0.1,1.8,1.33,2.62
Nintendo Switch,4.19,1.76,2.85,0.89,0.14,0.1,1.41,1.18,2.24
Dell XPS 13,2.22,1.68,1.11,0.26,0.2,0.01,1.4,0.51,1.23
OnePlus 9 Pro,4.74,1.17,1.58,0.66,0.02,0.06,1.57,0.43,0.8
HP Spectre x360,3.91,0.38,0.72,0.58,0.02,0.03,1.82,0.49,1.58
iPhone 11,0.91,0.14,2.13,0.47,0.02,0.03,0.16,0.97,1.59
Canon EOS R5,0.77,0.16,1.96,0.25,0.14,0.05,1.78,1.38,1.67
Google Pixel 6,1.39,1.95,2.6,0.29,0.08,0.08,0.48,0.31,1.78
Canon EOS R5,0.66,2.0,2.8,0.78,0.16,0.1,0.64,0.52,2.13
Nikon D3500,4.9,1.7,2.9,0.13,0.12,0.02,1.28,0.87,2.21
Apple Watch,4.43,0.48,0.69,0.38,0.12,0.08,1.12,1.01,1.06
Fitbit Charge,2.66,0.49,1.83,0.99,0.04,0.08,1.12,1.09,0.78
Sony PlayStation 5,2.0,1.7,0.58,0.42,0.04,0.04,1.98,0.45,1.25
Google Pixel 6,4.25,1.46,0.75,0.98,0.19,0.06,0.54,0.93,2.26
Raspberry Pi 4,1.92,0.35,0.77,0.65,0.14,0.04,1.24,0.76,2.32
Canon EOS R5,0.77,0.64,2.03,0.37,0.16,0.03,0.73,0.3,2.17
Canon EOS R5,3.37,1.72,2.52,0.8,0.07,0.09,1.5,0.87,0.29
Google Pixel 6,4.11,1.08,1.4,0.19,0.06,0.07,1.11,0.22,2.73
Amazon Kindle,4.76,0.6,1.55,0.23,0.19,0.07,0.79,1.23,2.44
Apple Watch,3.63,0.47,2.99,0.71,0.13,0.03,0.79,0.4,0.85
Nikon D3500,0.13,1.56,2.15,0.86,0.12,0.02,1.06,1.28,2.78
MacBook Pro,3.75,0.63,2.54,0.49,0.16,0.06,0.92,1.24,2.21
iPhone 11,4.49,1.1,0.31,0.15,0.15,0.05,0.78,0.32,1.96
OnePlus 9 Pro,1.16,0.8,1.57,0.31,0.09,0.06,0.27,1.25,2.14
Canon EOS R5,4.8,0.99,2.09,0.33,0.02,0.07,0.67,1.01,0.58
LG OLED TV,2.39,1.52,2.66,0.58,0.15,0.07,1.06,1.31,2.86
MacBook Pro,3.48,0.99,1.34,0.91,0.06,0.01,0.98,1.25,1.7
HP Spectre x360,3.33,1.23,2.16,0.19,0.03,0.09,0.5,0.69,2.01
Fitbit Charge,4.0,1.89,2.58,1.0,0.17,0.07,0.71,0.71,2.49
iPhone 11,3.58,1.65,2.69,0.47,0.11,0.04,1.08,0.14,0.71
MacBook Pro,0.89,0.5,2.32,0.35,0.13,0.1,1.39,0.3,1.32
iPad Pro,2.39,1.41,1.63,0.26,0.08,0.06,1.11,1.45,1.79
Lenovo ThinkPad X1,4.72,1.27,1.72,0.68,0.14,0.04,1.5,1.0,1.1
OnePlus 9 Pro,3.2,0.17,1.05,0.5,0.16,0.05,1.2,0.35,1.88
Sony PlayStation 5,1.0,1.24,0.71,0.96,0.03,0.06,0.96,0.11,2.85
Nintendo Switch,4.33,0.33,0.3,0.18,0.06,0.05,0.93,0.79,1.65
Dell XPS 13,1.85,0.69,1.88,0.75,0.05,0.02,0.29,0.37,2.83
Fitbit Charge,0.68,1.03,0.93,0.81,0.12,0.01,0.42,1.36,2.42
Raspberry Pi 4,0.66,0.51,1.66,0.36,0.06,0.03,1.24,0.66,2.78
OnePlus 9 Pro,4.86,1.89,2.23,0.81,0.02,0.03,0.65,1.27,0.3
iPhone 11,4.76,1.71,2.34,0.75,0.17,0.06,1.52,1.02,2.75
Sony PlayStation 5,3.99,1.26,1.28,0.88,0.17,0.01,0.45,1.42,1.67
Canon EOS R5,3.97,1.64,1.57,0.13,0.2,0.08,1.58,1.22,1.16
Lenovo ThinkPad X1,0.87,0.14,2.36,0.53,0.08,0.06,1.53,0.66,1.4
Canon EOS R5,3.79,0.84,0.32,0.54,0.12,0.07,1.22,1.28,2.95
iPad Pro,1.88,0.47,1.57,0.31,0.06,0.1,1.02,1.43,1.43
Canon EOS R5,3.42,1.68,2.4,0.86,0.11,0.07,1.25,0.64,2.83
Raspberry Pi 4,1.12,1.45,2.88,0.54,0.09,0.03,0.66,0.67,2.13
Google Pixel 6,2.75,0.77,1.62,0.68,0.06,0.08,0.17,0.71,2.87
Microsoft Surface Pro,0.43,1.31,0.15,0.25,0.09,0.04,0.85,0.86,2.14
Raspberry Pi 4,1.98,1.45,1.38,0.7,0.04,0.02,1.13,1.12,2.6
Microsoft Surface Pro,4.66,1.96,0.96,0.58,0.08,0.1,1.35,0.48,2.11
Raspberry Pi 4,0.73,0.36,2.97,0.44,0.17,0.03,1.72,0.52,1.24
Sony PlayStation 5,3.14,0.33,1.11,0.77,0.03,0.04,1.82,0.6,1.8
Raspberry Pi 4,4.99,0.37,1.92,0.66,0.05,0.05,0.47,0.44,0.86
OnePlus 9 Pro,0.85,0.99,1.11,0.13,0.04,0.01,1.49,1.14,2.28
Nikon D3500,0.4,0.57,1.23,0.24,0.07,0.1,0.78,1.37,1.01
iPad Pro,3.73,0.17,1.67,0.8,0.01,0.01,0.2,0.3,1.2
iPad Pro,3.88,0.64,0.81,0.89,0.2,0.03,1.88,0.66,2.89
Google Pixel 6,4.32,0.83,2.38,0.29,0.02,0.01,1.43,1.17,2.04
Amazon Kindle,4.68,0.49,1.84,0.93,0.1,0.08,1.82,0.74,1.22
MacBook Pro,4.5,0.66,1.05,0.83,0.06,0.03,0.34,0.35,2.37
Xbox Series X,3.48,1.65,2.01,0.62,0.14,0.08,0.82,0.17,1.39
Nikon D3500,2.83,0.49,2.65,0.79,0.03,0.07,1.0,0.37,2.43
iPhone 11,2.18,0.72,2.67,0.72,0.09,0.03,1.95,0.82,1.94
iPhone 11,1.86,1.14,2.4,0.46,0.1,0.04,0.24,0.33,2.17
Raspberry Pi 4,4.26,0.75,0.26,0.54,0.02,0.04,1.61,1.35,0.24
Sony PlayStation 5,2.84,1.02,2.52,0.29,0.11,0.02,1.66,0.49,1.81
Samsung Galaxy S20,1.22,1.76,0.63,0.39,0.06,0.1,1.58,0.96,1.15
Apple Watch,1.16,1.65,2.1,0.33,0.11,0.01,0.15,0.12,2.27
MacBook Pro,1.06,1.75,2.0,0.77,0.13,0.03,1.33,1.06,2.63
Microsoft Surface Pro,4.7,0.33,2.13,0.68,0.17,0.09,1.55,0.55,1.74
MacBook Pro,1.67,1.27,0.51,0.9,0.11,0.03,1.89,0.81,2.55
Google Pixel 6,2.5,1.57,1.54,0.17,0.03,0.03,1.83,0.87,0.43
OnePlus 9 Pro,4.24,0.17,0.96,0.31,0.19,0.1,0.57,0.29,0.75
Canon EOS R5,2.31,0.68,2.86,0.67,0.1,0.1,0.81,0.44,1.14
Amazon Kindle,3.74,1.85,1.52,0.82,0.02,0.08,1.84,0.41,2.47
Amazon Kindle,2.63,1.78,1.69,0.5,0.17,0.03,0.69,1.18,1.65
LG OLED TV,4.99,0.97,2.74,0.99,0.18,0.03,0.61,1.47,0.59
Apple Watch,4.32,1.58,1.17,0.12,0.07,0.05,0.39,0.21,0.72
Lenovo ThinkPad X1,3.32,0.6,0.12,0.28,0.11,0.02,1.16,0.92,2.4
Dell XPS 13,2.01,1.5,0.43,0.81,0.13,0.05,1.12,0.14,1.11
Nintendo Switch,4.49,1.3,1.55,0.1,0.16,0.09,0.24,1.01,1.14
Samsung Galaxy S20,4.73,0.11,1.12,0.22,0.19,0.08,1.54,1.21,0.54
HP Spectre x360,2.08,0.54,2.64,0.21,0.01,0.05,1.67,0.3,1.39
HP Spectre x360,2.05,1.49,0.52,0.92,0.13,0.03,1.58,0.49,1.69
Amazon Kindle,1.54,0.67,1.21,0.49,0.2,0.05,1.03,1.13,1.56
Canon EOS R5,2.33,0.65,0.65,0.35,0.09,0.07,0.83,0.11,0.67
Xbox Series X,3.09,1.05,0.32,0.63,0.2,0.05,1.41,0.8,2.25
MacBook Pro,0.66,1.56,1.13,0.56,0.14,0.1,1.82,0.4,1.12
LG OLED TV,3.93,1.14,1.61,0.9,0.03,0.07,1.44,0.66,0.29
Apple Watch,0.93,1.69,2.39,0.16,0.15,0.1,0.32,1.44,1.36
Sony PlayStation 5,2.43,0.99,2.63,0.82,0.13,0.04,0.56,0.25,1.97
Xbox Series X,4.99,0.63,1.0,0.88,0.05,0.09,0.82,1.08,2.25
Apple Watch,3.4,0.95,0.24,0.66,0.06,0.03,1.72,0.71,1.69
Apple Watch,4.02,1.7,0.61,0.61,0.03,0.07,1.99,0.95,2.45
MacBook Pro,2.31,0.24,0.28,0.66,0.03,0.07,1.5,1.39,0.96
Raspberry Pi 4,2.95,1.58,1.98,0.74,0.1,0.03,0.34,0.75,0.62
OnePlus 9 Pro,4.73,0.15,0.83,0.53,0.06,0.04,1.31,0.64,0.49
Fitbit Charge,1.78,0.36,0.21,0.35,0.1,0.08,0.34,0.46,2.56
Microsoft Surface Pro,2.17,1.78,1.62,0.96,0.18,0.06,0.27,1.13,2.86
OnePlus 9 Pro,4.0,0.12,2.86,0.15,0.05,0.05,1.72,1.33,2.83
Samsung Galaxy S20,2.01,0.44,1.42,0.66,0.1,0.07,0.3,1.14,1.18
Nikon D3500,3.42,0.11,0.13,0.1,0.09,0.03,1.8,1.27,2.19
Samsung Galaxy S20,0.94,0.22,2.41,0.12,0.1,0.08,1.28,1.29,1.15
iPad Pro,3.9,0.7,2.19,0.97,0.18,0.04,1.52,0.2,0.62
Fitbit Charge,4.58,1.66,0.32,0.39,0.08,0.01,0.48,1.35,1.97
HP Spectre x360,1.26,0.72,1.11,0.95,0.05,0.07,1.64,1.37,0.74
Samsung Galaxy S20,2.99,0.68,0.63,0.8,0.19,0.03,0.41,1.42,0.32
Google Pixel 6,1.51,1.15,1.32,0.22,0.05,0.1,0.95,1.04,0.3
MacBook Pro,3.48,1.74,1.17,0.29,0.09,0.03,1.24,0.64,2.71
Raspberry Pi 4,4.21,1.19,2.71,0.32,0.15,0.04,1.63,0.57,1.81
iPhone 11,3.12,1.08,1.0,0.51,0.08,0.09,0.76,0.36,0.86
Lenovo ThinkPad X1,4.22,0.27,0.86,0.41,0.13,0.09,0.74,0.8,1.95
